date	est	q025	q975
2020-12-08	547.8747121752583	537.5712176651886	558.375691215062
2020-12-09	561.9896291167898	551.5995325329727	572.5754367203848
2020-12-10	576.5788154586205	566.0604737985309	587.2926053374066
2020-12-11	591.462578615111	580.770135312859	602.3518783616262
2020-12-12	606.4428550196911	595.5314266809512	617.5542044088699
2020-12-13	621.3069814979301	610.1382723926534	632.6801361669789
2020-12-14	635.8325914016019	624.3800611652981	647.4951867200107
2020-12-15	649.7935293569556	638.0463241106028	661.7570148730715
2020-12-16	662.9665763334679	650.9316910103984	675.2239711252569
2020-12-17	675.1386799283899	662.8411363414772	687.6643770953697
2020-12-18	686.1143053942881	673.5954102000168	698.8658665695206
2020-12-19	695.7224725094572	683.0364206496985	708.6441427153584
2020-12-20	703.8230308555428	691.0322485381247	716.8505663963274
2020-12-21	710.3117560818423	697.4814567708385	723.3780711016682
2020-12-22	715.1239215149421	702.3163998821246	728.1650025668514
2020-12-23	718.2361065118395	705.5053284523037	731.196610277851
2020-12-24	719.6661337971085	707.0531919964411	732.504074653954
2020-12-25	719.471167916537	707.0011458945207	732.1611350548129
2020-12-26	717.7441401115192	705.4248359363417	730.2785845080629
2020-12-27	714.6087770008227	702.4315508069678	726.9971053833619
2020-12-28	710.2135905717886	698.1563048579754	722.4791077916026
2020-12-29	704.7252291218749	692.7568811559997	716.9003471061053
2020-12-30	698.3215922599178	686.4078892786672	710.442076545612
2020-12-31	691.1850820299084	679.2940118265597	703.2843059165211
2021-01-01	683.4963044737799	671.6027976291545	695.6004350763208
2021-01-02	675.4284613768372	663.5175137343581	687.5532250389467
2021-01-03	667.1425908195594	655.2106008872167	679.2918733041788
2021-01-04	658.7837367448096	646.8381681163148	670.9499117272456
2021-01-05	650.4780592761759	638.5357680416977	662.6437026344773
2021-01-06	642.3308437001424	630.415498209517	654.4713985305831
2021-01-07	634.4253289958973	622.5643323067861	646.5122995083688
2021-01-08	626.8222564402521	615.0435146752824	638.8265737202145
2021-01-09	619.5600332592129	607.8888400380127	631.4553081582377
2021-01-10	612.6554125024521	601.1116656638764	624.4208454248039
2021-01-11	606.1046046335449	594.7005440317669	617.727351092456
2021-01-12	599.8847549597518	588.6234028819089	611.3615555739599
2021-01-13	593.955740377757	582.8302221574758	605.293631174072
2021-01-14	588.262255840528	577.2561533364361	599.4782033010234
2021-01-15	582.7361729260042	571.8249930147127	593.855552633581
2021-01-16	577.2991581142635	566.4528692901878	588.3531287908518
2021-01-17	571.8655358876513	561.0519515548802	582.8875387203452
2021-01-18	566.3453714917364	555.5339832101879	577.367162953121
2021-01-19	560.6477310213627	549.8134807437423	571.6954736617373
2021-01-20	554.6840542631828	543.8105289720011	565.7749963676828
2021-01-21	548.3708261477864	537.4527072814375	559.5107418680068
2021-01-22	541.6307802887751	530.6757595347726	552.811951338065
2021-01-23	534.3983019926371	523.4268488070641	545.599725775396
2021-01-24	526.622932704219	515.6665038079269	537.81215417725
2021-01-25	518.2716297722178	507.369848312822	529.4076562096776
2021-01-26	509.3303886504469	498.5275322024855	520.3673379015071
2021-01-27	499.8051210431463	489.14626856774015	510.6962376558731
2021-01-28	489.721722687187	479.2489018021194	500.4234016392805
2021-01-29	479.1253139432184	468.87397286558587	489.6007877302178
2021-01-30	468.0786903834416	458.0747966635257	478.30105909977357
2021-01-31	456.660073490449	446.9181099050778	466.61439332721227
2021-02-01	444.9602977203203	435.4823741986968	454.64450062224483
2021-02-02	433.07960460046183	423.8558199108672	442.50411368737133
2021-02-03	421.124233775091	412.13429056999206	430.3102758748467
2021-02-04	409.2030034755637	400.41890793064044	418.1797980489647
2021-02-05	397.42405935921727	388.8135509932803	406.22525257687937
2021-02-06	385.89194348621595	377.42215734634954	394.5518013424847
2021-02-07	374.70509823514465	366.3459205908544	383.25501323165133
2021-02-08	363.9538777718182	355.68054553643924	372.4196524309844
2021-02-09	353.7190968983218	345.51378193656717	362.119272954312
2021-02-10	344.0711077708611	335.92344895644436	352.41638406140925
2021-02-11	335.0693621460498	326.97608744161283	343.36296065995543
2021-02-12	326.7623923561008	318.72627069846163	335.00113067020465
2021-02-13	319.188128790409	311.21650839472215	327.3639373638397
2021-02-14	312.37446491566277	304.4776170957003	320.4761232109781
2021-02-15	306.33998169108446	298.5294086367068	314.3549066440451
2021-02-16	301.0947500815695	293.38155506094097	309.0107300980505
2021-02-17	296.64114154148757	289.0345142606414	304.4479552213101
2021-02-18	292.97459021688235	285.48043412875734	300.6654756382963
2021-02-19	290.0842658064143	282.7039888105242	297.65721248752976
2021-02-20	287.9536314459576	280.6831347110116	295.4124548604788
2021-02-21	286.56087585869585	279.3898029457167	293.91600805437275
2021-02-22	285.8792228182307	278.79056459050446	293.1481205585219
2021-02-23	285.8771333631773	278.8473097589504	293.0841809110358
2021-02-24	286.5184269265202	279.51796628297825	293.69421243333824
2021-02-25	287.7623563622432	280.7572491984429	294.94224628416094
2021-02-26	289.56367848158396	282.51738982236566	296.78570918592106
2021-02-27	291.87276579797367	284.74876518729695	299.17499855890236
2021-02-28	294.635806313155	287.4003570071408	302.05341171391126
2021-03-01	297.795135943108	290.42001862539826	305.35754184962576
2021-03-02	301.28974225172055	293.75459722106706	309.018172463849
2021-03-03	305.05596839609666	297.35001235117926	312.96162767323074
2021-03-04	309.0284327612587	301.1514066722325	317.11149321915224
2021-03-05	313.14116324645624	305.1034603289253	321.39061292071307
2021-03-06	317.3289265831963	309.150914742521	325.7232725004565
2021-03-07	321.52871386803514	313.2393046735193	330.03748986540404
2021-03-08	325.68132546082484	317.31586224342163	334.26732910235603
2021-03-09	329.73298345452633	321.3305373437594	338.3551444458893
2021-03-10	333.63688988598693	325.2370751658675	342.2536444715763
2021-03-11	337.3546451762925	328.9941021041674	345.92765005248583
2021-03-12	340.8574447880445	332.5661948621299	349.35540491600625
2021-03-13	344.12698278937285	335.9249415970832	352.5292874077725
2021-03-14	347.1560080834344	339.0500400016728	355.45577268721445
2021-03-15	349.94850087047416	341.9304956547688	358.1545220966146
2021-03-16	352.51946124529314	344.5659523988202	360.6565584658656
2021-03-17	354.8943261978325	346.96807417741167	363.0016481084448
2021-03-18	357.1080532411461	349.1617142762106	365.23523764349306
2021-03-19	359.2039263893836	351.1854436522096	367.40549207196017
2021-03-20	361.23215184055437	353.09101193434003	369.5610001752826
2021-03-21	363.2483158633027	354.94156087640084	371.7494751860678
2021-03-22	365.3117762189321	356.80879264368593	374.01739137493394
2021-03-23	367.4840518454201	358.76958253033945	376.41019455518455
2021-03-24	369.82726487622784	360.90256701014823	378.97266006973484
2021-03-25	372.4026760315638	363.2850732884491	381.7491092053614
2021-03-26	375.2693407246519	365.99052995437654	384.7833934541148
2021-03-27	378.48290044443337	369.0863217658544	388.11870687450494
2021-03-28	382.0945133972161	372.631955889966	391.797361607297
2021-03-29	386.1499209298747	376.6773723875796	395.86068175266166
2021-03-30	390.68864244158993	381.26123108700665	400.34916452866264
2021-03-31	395.7432914672267	386.4090298221585	405.30303552531893
